x (µm),y (µm),z (µm),bz (nT)
0.0,0.0,5.0,-9001.446305774152
4.4,0.0,5.0,-4072.73939345032
8.8,0.0,5.0,-4311.450175009668
13.200000000000001,0.0,5.0,-3945.9537947550416
17.6,0.0,5.0,-2990.046632476151
22.0,0.0,5.0,-2100.6415772717446
26.400000000000002,0.0,5.0,-1784.6505215857178
30.800000000000004,0.0,5.0,-1587.0197967160493
35.2,0.0,5.0,-1435.8462067320943
39.6,0.0,5.0,-2042.7476556506006
44.0,0.0,5.0,-799.0399171831086
48.400000000000006,0.0,5.0,-83.21685527334921
52.800000000000004,0.0,5.0,-871.0067049833015
57.2,0.0,5.0,520.7743015489541
61.60000000000001,0.0,5.0,662.5256355619058
66.0,0.0,5.0,-3.8646257394248096
70.4,0.0,5.0,181.7906195356045
74.80000000000001,0.0,5.0,1230.6630378589034
79.2,0.0,5.0,-180.0892459868919
83.60000000000001,0.0,5.0,172.07294149557129
88.0,0.0,5.0,1185.397049994208
92.4,0.0,5.0,1284.622703678906
96.80000000000001,0.0,5.0,838.2213127333671
101.2,0.0,5.0,286.3751615223009
105.60000000000001,0.0,5.0,847.025221446529
110.00000000000001,0.0,5.0,295.72289349744096
114.4,0.0,5.0,387.0324871968478
118.80000000000001,0.0,5.0,1969.321310753003
123.20000000000002,0.0,5.0,1147.1600737422705
127.60000000000001,0.0,5.0,1630.0987044814974
132.0,0.0,5.0,2402.8522602748126
136.4,0.0,5.0,2815.1224250905216
140.8,0.0,5.0,2919.8534321039915
145.20000000000002,0.0,5.0,2505.287993699312
149.60000000000002,0.0,5.0,2302.3640096653253
154.0,0.0,5.0,1540.5307931359857
158.4,0.0,5.0,2734.995214268565
162.8,0.0,5.0,2913.6802186258137
167.20000000000002,0.0,5.0,2516.350068617612
171.60000000000002,0.0,5.0,2672.6358919404447
176.0,0.0,5.0,3491.723909974098
180.4,0.0,5.0,3065.3260182589293
184.8,0.0,5.0,3534.983843564987
189.20000000000002,0.0,5.0,2620.191080495715
193.60000000000002,0.0,5.0,2871.1860068142414
198.00000000000003,0.0,5.0,2490.461338311434
202.4,0.0,5.0,3796.8254764564335
206.8,0.0,5.0,2713.418798521161
211.20000000000002,0.0,5.0,2766.4093067869544
215.60000000000002,0.0,5.0,2953.5082285292447
220.00000000000003,0.0,5.0,3836.4133797585964
224.4,0.0,5.0,3449.1659607738256
228.8,0.0,5.0,3213.3172499015927
233.20000000000002,0.0,5.0,2357.354387640953
237.60000000000002,0.0,5.0,1806.9398356601596
242.00000000000003,0.0,5.0,2316.238096682355
246.40000000000003,0.0,5.0,2928.4859192557633
250.8,0.0,5.0,4335.101693868637
255.20000000000002,0.0,5.0,3581.747005227953
259.6,0.0,5.0,2984.3547963537276
264.0,0.0,5.0,1869.8412168305367
268.40000000000003,0.0,5.0,2003.6143541801719
272.8,0.0,5.0,2355.2027414552867
277.20000000000005,0.0,5.0,2237.2609237208962
281.6,0.0,5.0,3916.2032771855593
286.0,0.0,5.0,2982.5593810528517
290.40000000000003,0.0,5.0,2698.4221767634153
294.8,0.0,5.0,2309.577103005722
299.20000000000005,0.0,5.0,3128.2720738090575
303.6,0.0,5.0,2708.6498448625207
308.0,0.0,5.0,2539.7862191312015
312.40000000000003,0.0,5.0,2164.1136845573783
316.8,0.0,5.0,1971.8067778740078
321.20000000000005,0.0,5.0,2132.4529370758682
325.6,0.0,5.0,2071.76199182868
330.0,0.0,5.0,2322.824002476409
334.40000000000003,0.0,5.0,1914.8328283336014
338.8,0.0,5.0,1629.383332328871
343.20000000000005,0.0,5.0,2054.0450350381434
347.6,0.0,5.0,944.4904571864754
352.0,0.0,5.0,1507.7363059390336
356.40000000000003,0.0,5.0,921.0123971570283
360.8,0.0,5.0,376.8761598621495
365.20000000000005,0.0,5.0,300.55449315113947
369.6,0.0,5.0,602.2623711032793
374.00000000000006,0.0,5.0,593.8364483881742
378.40000000000003,0.0,5.0,-56.65537628374295
382.8,0.0,5.0,107.34705938375555
387.20000000000005,0.0,5.0,-97.7761283138534
391.6,0.0,5.0,-973.9766392158343
396.00000000000006,0.0,5.0,-1337.361754849553
400.40000000000003,0.0,5.0,-1438.3393863681704
404.8,0.0,5.0,-1265.9713684115559
409.20000000000005,0.0,5.0,-2634.9068502895534
413.6,0.0,5.0,-3063.6685551144183
418.00000000000006,0.0,5.0,-2421.8780163209885
422.40000000000003,0.0,5.0,-3824.6810436248784
426.8,0.0,5.0,-4984.815022908151
431.20000000000005,0.0,5.0,-5893.232300877571
435.6,0.0,5.0,-5048.185121268034
440.00000000000006,0.0,5.0,-4828.03035993129
444.40000000000003,0.0,5.0,-5188.790382817388
448.8,0.0,5.0,-5069.734761491418
453.20000000000005,0.0,5.0,-6912.589888088405
457.6,0.0,5.0,-7640.329422429203
462.00000000000006,0.0,5.0,-7532.899617217481
466.40000000000003,0.0,5.0,-9043.528698384762
470.8,0.0,5.0,-9765.96842519939
475.20000000000005,0.0,5.0,-10340.606095269322
479.6,0.0,5.0,-11069.61048208177
484.00000000000006,0.0,5.0,-11786.224786192179
488.40000000000003,0.0,5.0,-12031.056685373187
492.80000000000007,0.0,5.0,-13085.16482822597
497.20000000000005,0.0,5.0,-14137.723483145237
501.6,0.0,5.0,-16260.84791496396
506.00000000000006,0.0,5.0,-16596.722416579723
510.40000000000003,0.0,5.0,-17464.749980717897
514.8000000000001,0.0,5.0,-19289.08983245492
519.2,0.0,5.0,-20194.416865706444
523.6,0.0,5.0,-21477.06924006343
528.0,0.0,5.0,-22607.017308473587
532.4000000000001,0.0,5.0,-23156.65828064084
536.8000000000001,0.0,5.0,-24092.99137070775
541.2,0.0,5.0,-25667.78101027012
545.6,0.0,5.0,-26869.764551520348
550.0,0.0,5.0,-28083.082288503647
554.4000000000001,0.0,5.0,-28985.27542129159
558.8000000000001,0.0,5.0,-29313.7039989233
563.2,0.0,5.0,-31210.349407047033
567.6,0.0,5.0,-32366.58638343215
572.0,0.0,5.0,-33050.9920604527
576.4000000000001,0.0,5.0,-34035.33948585391
580.8000000000001,0.0,5.0,-34984.54112559557
585.2,0.0,5.0,-35795.79060897231
589.6,0.0,5.0,-37000.232841819525
594.0,0.0,5.0,-37871.69931456447
598.4000000000001,0.0,5.0,-39037.736132740974
602.8000000000001,0.0,5.0,-39895.870722830296
607.2,0.0,5.0,-40796.52018845081
611.6,0.0,5.0,-42056.46924674511
616.0,0.0,5.0,-41586.88709139824
620.4000000000001,0.0,5.0,-41220.41631489992
624.8000000000001,0.0,5.0,-42146.91463857889
629.2,0.0,5.0,-41500.74906647205
633.6,0.0,5.0,-40500.31770020723
638.0,0.0,5.0,-40729.48358952999
642.4000000000001,0.0,5.0,-40048.57037216425
646.8000000000001,0.0,5.0,-39137.27588951588
651.2,0.0,5.0,-38132.03889876604
655.6,0.0,5.0,-36171.72595113516
660.0,0.0,5.0,-35438.20697814226
664.4000000000001,0.0,5.0,-34276.5124514699
668.8000000000001,0.0,5.0,-33130.766823887825
673.2,0.0,5.0,-31017.251312732693
677.6,0.0,5.0,-31071.19351625443
682.0,0.0,5.0,-30682.629439979795
686.4000000000001,0.0,5.0,-28600.88599845767
690.8000000000001,0.0,5.0,-26611.527428030968
695.2,0.0,5.0,-25522.21529185772
699.6,0.0,5.0,-24770.71015164256
704.0,0.0,5.0,-23262.619506567717
708.4000000000001,0.0,5.0,-22694.142535328865
712.8000000000001,0.0,5.0,-21712.584421038628
717.2,0.0,5.0,-20227.194763720036
721.6,0.0,5.0,-19566.945265978575
726.0000000000001,0.0,5.0,-18668.35285909474
730.4000000000001,0.0,5.0,-17336.199525743723
734.8000000000001,0.0,5.0,-16300.566494464872
739.2,0.0,5.0,-15234.352322295308
743.6,0.0,5.0,-14318.700414150953
748.0000000000001,0.0,5.0,-12486.946070566773
752.4000000000001,0.0,5.0,-12121.009640395641
756.8000000000001,0.0,5.0,-10917.411418631673
761.2,0.0,5.0,-9375.293739140034
765.6,0.0,5.0,-8338.252664543688
770.0000000000001,0.0,5.0,-6860.104622319341
774.4000000000001,0.0,5.0,-6361.1741643399
778.8000000000001,0.0,5.0,-6017.109262757003
783.2,0.0,5.0,-4713.818489108235
787.6,0.0,5.0,-3511.4079946652055
792.0000000000001,0.0,5.0,-2767.10168691352
796.4000000000001,0.0,5.0,-1748.8570301793516
800.8000000000001,0.0,5.0,-1133.3442671457306
805.2,0.0,5.0,-67.5945057082572
809.6,0.0,5.0,736.3302574958652
814.0000000000001,0.0,5.0,1799.001038307324
818.4000000000001,0.0,5.0,2948.1740784831345
822.8000000000001,0.0,5.0,3663.0104295909405
827.2,0.0,5.0,4588.169977068901
831.6,0.0,5.0,5793.208838440478
836.0000000000001,0.0,5.0,6276.450585573912
840.4000000000001,0.0,5.0,6858.384003862739
844.8000000000001,0.0,5.0,7934.9830048158765
849.2,0.0,5.0,8125.476888380945
853.6,0.0,5.0,8131.186477839947
858.0000000000001,0.0,5.0,9628.749685361981
862.4000000000001,0.0,5.0,10383.70537571609
866.8000000000001,0.0,5.0,9868.097258731723
871.2,0.0,5.0,9833.519579842687
875.6,0.0,5.0,10933.87370929122
880.0000000000001,0.0,5.0,11713.186977431178
884.4000000000001,0.0,5.0,11170.163052156568
888.8000000000001,0.0,5.0,11963.674332946539
893.2,0.0,5.0,12987.073278054595
897.6,0.0,5.0,13104.442041367292
902.0000000000001,0.0,5.0,13340.278528630733
906.4000000000001,0.0,5.0,13627.951266244054
910.8000000000001,0.0,5.0,13730.148784816265
915.2,0.0,5.0,14497.281517833471
919.6,0.0,5.0,15161.60205937922
924.0000000000001,0.0,5.0,14463.714323937893
928.4000000000001,0.0,5.0,14919.571112841368
932.8000000000001,0.0,5.0,15137.623995542526
937.2,0.0,5.0,15751.445898786189
941.6,0.0,5.0,16170.557355508208
946.0000000000001,0.0,5.0,16917.248722165823
950.4000000000001,0.0,5.0,17152.057262137532
954.8000000000001,0.0,5.0,17491.684993728995
959.2,0.0,5.0,17336.931778118014
963.6,0.0,5.0,18312.656320631504
968.0000000000001,0.0,5.0,18078.545108437538
972.4000000000001,0.0,5.0,19374.04158525169
976.8000000000001,0.0,5.0,20030.245650559664
981.2,0.0,5.0,20341.67293459177
985.6000000000001,0.0,5.0,20623.27926978469
990.0000000000001,0.0,5.0,20804.57517877221
994.4000000000001,0.0,5.0,22081.045899540186
998.8000000000001,0.0,5.0,21956.39768615365
1003.2,0.0,5.0,22465.279325842857
1007.6000000000001,0.0,5.0,23726.390209048986
1012.0000000000001,0.0,5.0,24791.6835360229
1016.4000000000001,0.0,5.0,25161.150842905045
1020.8000000000001,0.0,5.0,25577.53585278988
1025.2,0.0,5.0,26066.177524626255
1029.6000000000001,0.0,5.0,26645.411271601915
1034.0,0.0,5.0,28703.012503683567
1038.4,0.0,5.0,29451.00422948599
1042.8000000000002,0.0,5.0,30653.171706944704
1047.2,0.0,5.0,31037.48895227909
1051.6000000000001,0.0,5.0,32230.110373347994
1056.0,0.0,5.0,32715.864945203066
1060.4,0.0,5.0,35373.61975759268
1064.8000000000002,0.0,5.0,35412.73297742009
1069.2,0.0,5.0,37036.51251271367
1073.6000000000001,0.0,5.0,38397.370371967554
1078.0,0.0,5.0,37505.27976080775
1082.4,0.0,5.0,40056.137368083
1086.8000000000002,0.0,5.0,40581.90621435642
1091.2,0.0,5.0,41398.37808907032
1095.6000000000001,0.0,5.0,42892.6944732666
1100.0,0.0,5.0,44222.697615623474
1104.4,0.0,5.0,45969.44432705641
1108.8000000000002,0.0,5.0,46963.96179497242
1113.2,0.0,5.0,47913.361340761185
1117.6000000000001,0.0,5.0,47588.86061608791
1122.0,0.0,5.0,48376.24728679657
1126.4,0.0,5.0,49680.17339706421
1130.8000000000002,0.0,5.0,50967.57784485817
1135.2,0.0,5.0,51230.830140411854
1139.6000000000001,0.0,5.0,53105.83859682083
1144.0,0.0,5.0,54412.12560981512
1148.4,0.0,5.0,54426.463320851326
1152.8000000000002,0.0,5.0,56857.23852366209
1157.2,0.0,5.0,56320.99695503712
1161.6000000000001,0.0,5.0,59550.75845122337
1166.0,0.0,5.0,61648.80935102701
1170.4,0.0,5.0,62780.27780354023
1174.8000000000002,0.0,5.0,64134.00638848544
1179.2,0.0,5.0,66924.77036267519
1183.6000000000001,0.0,5.0,66762.57122308016
1188.0,0.0,5.0,68421.64322733879
1192.4,0.0,5.0,70054.48453128338
1196.8000000000002,0.0,5.0,70997.63490259647
1201.2,0.0,5.0,69424.61710423231
1205.6000000000001,0.0,5.0,71914.75480794907
1210.0,0.0,5.0,71039.80984538794
1214.4,0.0,5.0,70835.92936396599
1218.8000000000002,0.0,5.0,71241.29682779312
