x (µm),y (µm),z (µm),bz (nT)
0.0,0.0,5000000.0,-40394.497773377225
4.4,0.0,5000000.0,7092.285159160383
8.8,0.0,5000000.0,54100.291890790686
13.200000000000001,0.0,5000000.0,16186.446373467334
17.6,0.0,5000000.0,-3269.366061431356
22.0,0.0,5000000.0,-7574.827122880379
26.400000000000002,0.0,5000000.0,11538.790204213
30.800000000000004,0.0,5000000.0,-26644.274839782156
35.2,0.0,5000000.0,17662.785467109643
39.6,0.0,5000000.0,1455.5342886524159
44.0,0.0,5000000.0,47128.4547529649
48.400000000000006,0.0,5000000.0,-2285.86350203841
52.800000000000004,0.0,5000000.0,-16013.040294637904
57.2,0.0,5000000.0,16966.536350082606
61.60000000000001,0.0,5000000.0,26974.2522505112
66.0,0.0,5000000.0,67988.09044994414
70.4,0.0,5000000.0,15112.523215066176
74.80000000000001,0.0,5000000.0,-17209.005818585865
79.2,0.0,5000000.0,19470.708139124326
83.60000000000001,0.0,5000000.0,29937.213184894063
88.0,0.0,5000000.0,31817.358831176534
92.4,0.0,5000000.0,-2928.4399261086946
96.80000000000001,0.0,5000000.0,30679.024348501116
101.2,0.0,5000000.0,24586.5921897348
105.60000000000001,0.0,5000000.0,27823.78942356445
110.00000000000001,0.0,5000000.0,67373.75952070579
114.4,0.0,5000000.0,23999.149561859667
118.80000000000001,0.0,5000000.0,-5486.723239300773
123.20000000000002,0.0,5000000.0,41379.28772252053
127.60000000000001,0.0,5000000.0,31670.017051510513
132.0,0.0,5000000.0,42312.491132179275
136.4,0.0,5000000.0,10101.773114001844
140.8,0.0,5000000.0,-8153.398994181771
145.20000000000002,0.0,5000000.0,9461.62072068546
149.60000000000002,0.0,5000000.0,26502.94845807366
154.0,0.0,5000000.0,-18041.04795155581
158.4,0.0,5000000.0,-2552.32339441136
162.8,0.0,5000000.0,-9023.809980135411
167.20000000000002,0.0,5000000.0,7729.352546448354
171.60000000000002,0.0,5000000.0,-68377.9435348697
176.0,0.0,5000000.0,-57946.73052150756
180.4,0.0,5000000.0,-26338.120733271353
184.8,0.0,5000000.0,28959.34994739946
189.20000000000002,0.0,5000000.0,11487.696610856801
193.60000000000002,0.0,5000000.0,3834.1136132657994
198.00000000000003,0.0,5000000.0,76238.00047440454
202.4,0.0,5000000.0,86472.39883430302
206.8,0.0,5000000.0,109876.86255248263
211.20000000000002,0.0,5000000.0,145265.39598591626
215.60000000000002,0.0,5000000.0,92930.26232626289
220.00000000000003,0.0,5000000.0,134848.49478118122
224.4,0.0,5000000.0,96846.4883044362
228.8,0.0,5000000.0,64948.842918965966
233.20000000000002,0.0,5000000.0,54727.21750265919
237.60000000000002,0.0,5000000.0,23786.758902133442
242.00000000000003,0.0,5000000.0,37701.87322515994
246.40000000000003,0.0,5000000.0,-61670.88577058166
250.8,0.0,5000000.0,8921.018888941035
255.20000000000002,0.0,5000000.0,-56688.36456607096
259.6,0.0,5000000.0,-32733.380066929385
264.0,0.0,5000000.0,16707.27397140581
268.40000000000003,0.0,5000000.0,-31953.590223565698
272.8,0.0,5000000.0,-34652.624890441075
277.20000000000005,0.0,5000000.0,-29164.348234189674
281.6,0.0,5000000.0,15815.10150572285
286.0,0.0,5000000.0,44763.02274269983
290.40000000000003,0.0,5000000.0,-14769.822882954031
294.8,0.0,5000000.0,-29064.833142911084
299.20000000000005,0.0,5000000.0,44111.40253068879
303.6,0.0,5000000.0,42728.96330803633
308.0,0.0,5000000.0,53582.99313229509
312.40000000000003,0.0,5000000.0,54012.73665484041
316.8,0.0,5000000.0,-21273.166566970758
321.20000000000005,0.0,5000000.0,-49164.089432451874
325.6,0.0,5000000.0,-41316.638089483604
330.0,0.0,5000000.0,-25886.7130469298
334.40000000000003,0.0,5000000.0,-24833.772840793245
338.8,0.0,5000000.0,-6026.0554164415225
343.20000000000005,0.0,5000000.0,-52807.60524328798
347.6,0.0,5000000.0,-10257.839676341973
352.0,0.0,5000000.0,5199.060524319066
356.40000000000003,0.0,5000000.0,-22415.16085632611
360.8,0.0,5000000.0,-32145.770092029124
365.20000000000005,0.0,5000000.0,15650.144632672891
369.6,0.0,5000000.0,-15262.792658177204
374.00000000000006,0.0,5000000.0,13762.546586804092
378.40000000000003,0.0,5000000.0,33995.82419660874
382.8,0.0,5000000.0,-34349.42846070044
387.20000000000005,0.0,5000000.0,56344.09899357706
391.6,0.0,5000000.0,-1457.4501392417005
396.00000000000006,0.0,5000000.0,-41393.21026741527
400.40000000000003,0.0,5000000.0,20178.75885940157
404.8,0.0,5000000.0,45379.510993370786
409.20000000000005,0.0,5000000.0,1983.491301871254
413.6,0.0,5000000.0,-14120.872947387397
418.00000000000006,0.0,5000000.0,-18092.610844178125
422.40000000000003,0.0,5000000.0,-30816.248909104615
426.8,0.0,5000000.0,-65089.17431347072
431.20000000000005,0.0,5000000.0,-61280.064983293414
435.6,0.0,5000000.0,-20294.87404797692
440.00000000000006,0.0,5000000.0,-18880.518837249838
444.40000000000003,0.0,5000000.0,-38915.62664648518
448.8,0.0,5000000.0,14303.72958566295
453.20000000000005,0.0,5000000.0,-20046.58745136112
457.6,0.0,5000000.0,-7364.583325397689
462.00000000000006,0.0,5000000.0,-28244.894565432332
466.40000000000003,0.0,5000000.0,903.5321681949426
470.8,0.0,5000000.0,8187.308594642673
475.20000000000005,0.0,5000000.0,-18839.902622858062
479.6,0.0,5000000.0,32722.684409236535
484.00000000000006,0.0,5000000.0,-25013.672711793333
488.40000000000003,0.0,5000000.0,13134.862456354313
492.80000000000007,0.0,5000000.0,16632.389815640636
497.20000000000005,0.0,5000000.0,-14185.514373821206
501.6,0.0,5000000.0,-7216.599897219567
506.00000000000006,0.0,5000000.0,77753.298683092
510.40000000000003,0.0,5000000.0,54665.44826049358
514.8000000000001,0.0,5000000.0,59330.38119110279
519.2,0.0,5000000.0,81062.2877907008
523.6,0.0,5000000.0,29525.73777292855
528.0,0.0,5000000.0,34876.586141763255
532.4000000000001,0.0,5000000.0,8553.199222660623
536.8000000000001,0.0,5000000.0,4887.833711109124
541.2,0.0,5000000.0,48393.43091589399
545.6,0.0,5000000.0,15533.520127064548
550.0,0.0,5000000.0,34730.506740743294
554.4000000000001,0.0,5000000.0,-769.8814101786411
558.8000000000001,0.0,5000000.0,14112.836652202532
563.2,0.0,5000000.0,2815.3194762126077
567.6,0.0,5000000.0,33417.42922202684
572.0,0.0,5000000.0,1305.7381238468224
576.4000000000001,0.0,5000000.0,-2041.9226984813577
580.8000000000001,0.0,5000000.0,-9302.387297793757
585.2,0.0,5000000.0,48181.97339773178
589.6,0.0,5000000.0,-37388.22852028534
594.0,0.0,5000000.0,-9238.086931873113
598.4000000000001,0.0,5000000.0,2896.156502174563
602.8000000000001,0.0,5000000.0,-16902.851712075062
607.2,0.0,5000000.0,-4707.201242126757
611.6,0.0,5000000.0,-12809.968211513478
