x (µm),y (µm),z (µm),bz (nT)
0.0,0.0,5000000.0,-48967.12562185712
4.4,0.0,5000000.0,-66638.0874463357
8.8,0.0,5000000.0,3611.4538488618564
13.200000000000001,0.0,5000000.0,-30734.001484233886
17.6,0.0,5000000.0,-29341.23040176928
22.0,0.0,5000000.0,-25374.716642545536
26.400000000000002,0.0,5000000.0,-45873.679482610896
30.800000000000004,0.0,5000000.0,24442.007998004556
35.2,0.0,5000000.0,-11647.216524579562
39.6,0.0,5000000.0,26913.423425867222
44.0,0.0,5000000.0,57664.12505181506
48.400000000000006,0.0,5000000.0,-13935.259630670771
52.800000000000004,0.0,5000000.0,-6413.39738649549
57.2,0.0,5000000.0,27357.111321180128
61.60000000000001,0.0,5000000.0,28157.877750345506
66.0,0.0,5000000.0,-2606.0408799821744
70.4,0.0,5000000.0,7977.934728842229
74.80000000000001,0.0,5000000.0,11781.11051558517
79.2,0.0,5000000.0,59300.549764884636
83.60000000000001,0.0,5000000.0,44100.28486745432
88.0,0.0,5000000.0,69907.56082814187
92.4,0.0,5000000.0,33736.9492626749
96.80000000000001,0.0,5000000.0,41356.45940550603
101.2,0.0,5000000.0,-7912.958608358167
105.60000000000001,0.0,5000000.0,54818.80361912772
110.00000000000001,0.0,5000000.0,80053.27254068106
114.4,0.0,5000000.0,49820.80645277165
118.80000000000001,0.0,5000000.0,24628.72907926794
123.20000000000002,0.0,5000000.0,65237.44377773255
127.60000000000001,0.0,5000000.0,63066.35623332113
132.0,0.0,5000000.0,13707.805010199081
136.4,0.0,5000000.0,3383.4576242952608
140.8,0.0,5000000.0,64614.77460106835
145.20000000000002,0.0,5000000.0,48722.22780250013
149.60000000000002,0.0,5000000.0,1905.057615658734
154.0,0.0,5000000.0,94144.59054823965
158.4,0.0,5000000.0,7550.063855887856
162.8,0.0,5000000.0,14422.591448237654
167.20000000000002,0.0,5000000.0,70082.6058164239
171.60000000000002,0.0,5000000.0,43961.92525746301
176.0,0.0,5000000.0,31843.410397414118
180.4,0.0,5000000.0,48150.59946849942
184.8,0.0,5000000.0,28326.53626683168
189.20000000000002,0.0,5000000.0,29390.937925199978
193.60000000000002,0.0,5000000.0,50323.70609114878
198.00000000000003,0.0,5000000.0,53168.86745276861
202.4,0.0,5000000.0,84309.79505646974
206.8,0.0,5000000.0,96723.0589594692
211.20000000000002,0.0,5000000.0,56472.71245834418
215.60000000000002,0.0,5000000.0,56805.40198227391
220.00000000000003,0.0,5000000.0,25449.51166782994
224.4,0.0,5000000.0,78645.27287892997
228.8,0.0,5000000.0,81664.38055923209
233.20000000000002,0.0,5000000.0,43004.82032704167
237.60000000000002,0.0,5000000.0,80074.62020032108
242.00000000000003,0.0,5000000.0,81922.17501346022
246.40000000000003,0.0,5000000.0,47779.99492944218
250.8,0.0,5000000.0,97038.0351645872
255.20000000000002,0.0,5000000.0,19599.236111389473
259.6,0.0,5000000.0,78021.67965564877
264.0,0.0,5000000.0,5302.91754330392
268.40000000000003,0.0,5000000.0,9114.317435887642
272.8,0.0,5000000.0,-19158.189388690516
277.20000000000005,0.0,5000000.0,-3808.73893846001
281.6,0.0,5000000.0,-34396.602131891996
286.0,0.0,5000000.0,8517.946298525203
290.40000000000003,0.0,5000000.0,-7592.743259010604
294.8,0.0,5000000.0,-10931.230463029351
299.20000000000005,0.0,5000000.0,-61392.43487268686
303.6,0.0,5000000.0,-44282.67857292667
308.0,0.0,5000000.0,-63331.666751764715
312.40000000000003,0.0,5000000.0,3965.3673411521595
316.8,0.0,5000000.0,-65244.0867270343
321.20000000000005,0.0,5000000.0,-65616.12826772034
325.6,0.0,5000000.0,-58733.781770570204
330.0,0.0,5000000.0,-56350.50547425635
334.40000000000003,0.0,5000000.0,-33417.58201713674
338.8,0.0,5000000.0,27574.895284487866
343.20000000000005,0.0,5000000.0,-16131.629308802076
347.6,0.0,5000000.0,9279.171536036301
352.0,0.0,5000000.0,-195.78993715185788
356.40000000000003,0.0,5000000.0,-31349.511118605733
360.8,0.0,5000000.0,3498.2440411113203
365.20000000000005,0.0,5000000.0,-62558.13059397042
369.6,0.0,5000000.0,-46495.95211958513
374.00000000000006,0.0,5000000.0,-56796.136050252244
378.40000000000003,0.0,5000000.0,-29636.50149467867
382.8,0.0,5000000.0,-44024.65492603369
387.20000000000005,0.0,5000000.0,-49264.11565975286
391.6,0.0,5000000.0,-68810.45555928722
396.00000000000006,0.0,5000000.0,-47324.12344310433
400.40000000000003,0.0,5000000.0,-31062.60919594206
404.8,0.0,5000000.0,-35452.65280990861
